Neighborhood,shomes10,shomes11,shomes12,shomes13,shomes14,salepr10,salepr11,salepr12,salepr13,salepr14,dom10,dom11,dom12,dom13,dom14,reosa11,reosa12,reosa13,reosa14,cashsa11,cashsa12,cashsa13,cashsa14,fore10,fore11,fore12,fore13,fore14,ownroc10,ownroc11,ownroc12,ownroc13,ownroc14,nomail10,nomail11,nomail12,nomail13,nomail14,totalres10,totalres11,totalres12,totalres13,totalres14,affordm13,affordr13,affordr14,homtax11,homtax12,homtax13,owntax11,owntax12,owntax13,histax12,histax13,resrehab10,resrehab11,resrehab12,resrehab13,homtax14,constper11,constper12,constper13,vacant10,vacant11,vacant12,vacant13,baltvac11,baltvac12,baltvac13,vio10,vio11,vio12,vio13,demper11,demper12,demper13,owntax14,resrehab14,constper14,vacant14,demper14,hcvhouse14
Allendale/Irvington/S. Hilton,118,80,76,74,184,$42500.00,$30000.00,$47500.00,$31806.00,$33250.00,85,55,58,57,43,53.5%,29.3%,8.3%,4.4%,78.2%,76.1%,78.8%,76.6%,2.6%,1.3%,2%,3.3%,2.8%,66%,61.6%,61.8%,60.3%,58.1%,9%,8.7%,8.4%,9%,10.2,5568,5551,5554,5568,5589,50.8,51,51,599.9,550.8,501.4,69,62.3,71.3,,,1.3%,1.6%,1.4%,1.6%,499.7,0,1.4,0,4.3%,4.7%,5.1%,5.2%,$3.00,2.8%,1.7%,5%,5.3%,3.3%,3.5%,0.4,0.2,0.2,72.5,1.4%,3.6,5.7%,0.2,211.4
Beechfield/Ten Hills/West Hills,72,84,64,62,117,$142250.00,$120000.00,$144501.00,$139500.00,$130000.00,102,74,69,53,49,38.5%,9%,3.2%,1.7%,32.1%,25.4%,29%,34.7%,2.1%,1%,1.4%,3%,2.4%,82.7%,79.5%,81%,80.8%,78.7%,2.3%,2.6%,2.8%,2.4%,2.9,3557,3575,3599,3599,3612,37.5,48.4,48.4,740.4,641.6,585.2,56.5,52.5,60,,,1.9%,3.1%,1.8%,2.4%,577.8,4.8,1.8,6.1,0.3%,0.4%,0.8%,0.4%,$6.70,3.7%,6.7%,2%,3.1%,1.3%,1.4%,0,0,0,60.4,2.6%,0.6,0.6%,0,166.7
Belair-Edison,153,127,132,117,184,$56000.00,$44000.00,$60000.00,$45100.00,$41975.00,94,66,46,39,39,41.1%,23.2%,6.5%,3.5%,66.7%,67.4%,67.7%,69.2%,3.2%,1.7%,2.3%,4.7%,3.1%,67.2%,64.8%,64.5%,63.5%,61.6%,6.2%,6.7%,8.7%,9.8%,11.3,6295,6296,6292,6295,6296,42.7,71.5,71.5,613.7,582.8,443.4,57.5,52.6,57.7,,,1.4%,1.9%,1.8%,1.5%,444.4,0,1.8,0,1.5%,1.7%,2%,2.5%,$0.90,0%,0%,2.2%,3.2%,2.6%,2.5%,0,0.3,0.3,58.3,1.9%,0.3,2.7%,0,420.3
Brooklyn/Curtis Bay/Hawkins Point,104,86,84,77,113,$58005.00,$42950.00,$47050.00,$45000.00,$40000.00,108,68,59,51,36,42.6%,23.7%,0.8%,5.1%,73.4%,72%,76.9%,75.4%,2.8%,1.3%,1.8%,3.6%,2.5%,50.4%,46.2%,46.9%,45.6%,43.5%,8.9%,8.8%,9.9%,9.9%,11.3,4283,4259,4256,4256,4249,33.1,53,53,382,364.4,305.7,51,47.2,52.9,,,1.3%,1%,1.2%,1%,307.4,0.5,1.2,0.5,3.7%,4.2%,5%,5.5%,$2.70,3.8%,3.9%,3.7%,4.3%,3.1%,4.1%,0.9,3.8,3.8,53.2,1%,0.2,5.9%,1.2,54.5
Canton,230,199,288,244,315,$251000.00,$231000.00,$261200.00,$285500.00,$275000.00,82,58,27,17,30,14%,3.9%,0.7%,0.4%,26.6%,20.1%,15.5%,18.3%,1.8%,0.5%,0.6%,1.4%,0.7%,69.9%,67.9%,68.7%,68.4%,66.6%,7.7%,7.4%,6.4%,5.6%,4.9,4013,4017,4025,4024,4033,29.8,33.4,33.4,448.3,355.8,321.1,46.6,43,44,,,4%,5.3%,6.6%,6.5%,320.6,0.3,6.6,0.7,0.9%,0.7%,0.8%,0.6%,$0.00,0%,0%,0.6%,0.4%,0.5%,0.8%,0,0.5,0.5,44.4,5.3%,1.5,0.5%,0.5,16.3
Cedonia/Frankford,195,171,141,132,262,$103225.00,$88000.00,$94500.00,$97250.00,$78575.00,98.5,71,48,39,45,42.6%,16.9%,6.7%,1.8%,45.4%,42.2%,40.2%,43.7%,2.9%,1.3%,2.4%,4.1%,3.2%,79.2%,76.5%,76.1%,75.2%,73.1%,4.8%,5.2%,6.2%,6.1%,6,6294,6290,6286,6290,6285,43.6,58.8,58.8,720.5,683.4,528.1,69.3,68.7,72,,,1.9%,1.6%,2.1%,2.7%,528.2,0.5,2.1,0.2,0.7%,0.6%,1.1%,1.3%,$2.60,1.4%,1.2%,1.6%,2.6%,1%,1.8%,0.2,0,0,72.6,2.4%,0.2,1.7%,0.5,132
Cherry Hill,9,8,6,2,18,$69000.00,$61050.00,$16000.00,$34850.00,$23500.00,141,92,28,36,38,15.4%,6.7%,0%,4.3%,61.5%,86.7%,76.5%,95.7%,2%,1%,0.6%,1.9%,1.4%,54.7%,53%,53%,52.2%,49.5%,3.1%,3.3%,4.4%,4.3%,3.7,988,985,985,984,984,41.6,43.5,43.5,510.7,500.5,470.5,67,66,74.2,,,0.4%,0.5%,0.2%,0.4%,470.5,0,0.2,0,3.4%,3.7%,4%,4.1%,$5.40,5.1%,5%,2.9%,5.2%,2.4%,3.4%,0,0,0,74.2,1.1%,1,4.9%,3,99.6
Chinquapin Park/Belvedere,74,59,63,55,89,$117450.00,$130000.00,$124000.00,$125000.00,$120000.00,103,78,54,45,36,24.2%,11.5%,5.5%,2.2%,40.3%,31.1%,43.8%,40%,2%,0.9%,1.6%,2.6%,2.3%,74%,70.3%,71.6%,70.5%,68.9%,6%,5.3%,4.3%,4.8%,5.2,2694,2688,2689,2689,2689,31.8,61.5,61.5,674.9,636.7,482,61,58,62.5,,,2.3%,1.8%,1.3%,2.2%,483.1,0,1.3,0.4,0.3%,0.6%,0.7%,1%,$0.00,5.6%,3.7%,2.3%,3.8%,2.9%,2.9%,0.4,0,0,62.8,2.8%,0.4,1.6%,0,116.9
Claremont/Armistead,16,18,6,7,17,$139000.00,$135000.00,$79200.00,$97000.00,$90000.00,135,43,49,108,57,31.6%,20%,0%,0%,52.6%,40%,56.3%,57.1%,4.7%,0.8%,2%,2.9%,1.3%,76.6%,70.9%,75.2%,74.5%,85.1%,3.6%,3.9%,4.6%,4.2%,3.7,725,755,745,752,2267,33.8,47.5,47.5,543.1,567.8,432.2,46.4,44.3,57.2,,,1.5%,2.7%,4.6%,7.6%,142.9,6.6,4.6,6.6,0%,0.3%,0.3%,0.5%,$0.00,0%,0%,3.3%,2.8%,3.6%,3.1%,0,0,0,19.4,1.4%,26,0.2%,0.4,270.3
Clifton-Berea,87,76,40,40,63,$13250.00,$16050.00,$21250.00,$24000.00,$20000.00,71,45,36,50,32,53.1%,14.6%,7.4%,2%,90.6%,85.4%,87%,93.1%,1.7%,0.5%,0.9%,1.8%,1.4%,35.8%,34.4%,34%,33.5%,33%,9.5%,8.8%,9.6%,10.7%,12.5,4783,4756,4738,4723,4675,54.6,55.7,55.7,162.7,135.5,113.5,30.7,27,29.6,,,1.7%,1.2%,1.5%,1.6%,114.7,0,1.5,0,24.5%,23.7%,24.1%,25.1%,$17.40,15.7%,15.4%,11.3%,12.7%,11.8%,14%,4.8,4,4,29.9,1.2%,0,26%,6.4,229
