Section,Variable Name,Indicator,Full Source,Years Available,Normalization Source
Socioeconomic/Demographics,tpopXX,Total Population,U.S. Bureau of the Census,2010,
Socioeconomic/Demographics,maleXX,Total Male Population,U.S. Bureau of the Census,2010,
Socioeconomic/Demographics,femaleXX,Total Female Population,U.S. Bureau of the Census,2010,
Socioeconomic/Demographics,paaXX,Percent of Residents - Black/African-American (Non-Hispanic),U.S. Bureau of the Census,2010,
Socioeconomic/Demographics,pwhiteXX,Percent of Residents - White/Caucasian (Noon-Hispanic),U.S. Bureau of the Census,2010,
Socioeconomic/Demographics,pasiXX,Percent of Residents - Asian (Non-Hispanic),U.S. Bureau of the Census,2010,
Socioeconomic/Demographics,p2moreXX,Percent of Residents - Two or More Races (Non-Hispanic),U.S. Bureau of the Census,2010,
Socioeconomic/Demographics,ppacXX,"Percent of Residents - All Other Races (Hawaiian/ Pacific Islander, Alaskan/ Native American Other Race) (Non-Hispanic)",U.S. Bureau of the Census,2010,
Socioeconomic/Demographics,phispXX,Percent of Residents - Hispanic,U.S. Bureau of the Census,2010,
Socioeconomic/Demographics,racdivXX,Racial Diversity Index,U.S. Bureau of the Census,2010,
Socioeconomic/Demographics,age5_XX,Percent of Population 0-5 years old,U.S. Bureau of the Census,2010,
Socioeconomic/Demographics,age18_XX,Percent of Population 6-18 years old,U.S. Bureau of the Census,2010,
Socioeconomic/Demographics,age24_XX,Percent of Population 19-24 years old,U.S. Bureau of the Census,2010,
Socioeconomic/Demographics,age64_XX,Percent of Population 25-64 years old,U.S. Bureau of the Census,2010,
Socioeconomic/Demographics,age65_XX,Percent of Population 65 years and over,U.S. Bureau of the Census,2010,
Socioeconomic/Demographics,hhsXX,Total Number of Households,U.S. Bureau of the Census,2010,
Socioeconomic/Demographics,femhhsXX,Percent of Female-Headed Households with Children Under 18,U.S. Bureau of the Census,2010,
Socioeconomic/Demographics,famXX,Percent of Households with Children Under 18,U.S. Bureau of the Census,2010,
Socioeconomic/Demographics,hhsizeXX,Average Household Size,U.S. Bureau of the Census,2010,
Socioeconomic/Demographics,mhhiXX,Median Household Income,American Community Survey,2007-2011,
Socioeconomic/Demographics,hh25incXX,"Percent of Households Earning Less than $25,000",American Community Survey,2007-2011,
Socioeconomic/Demographics,hh40incXX,"Percent of Households Earning $25,000 to $40,000",American Community Survey,2007-2011,
Socioeconomic/Demographics,hh60incXX,"Percent of Households Earning $40,000 to $60,000",American Community Survey,2007-2011,
Socioeconomic/Demographics,hh75incXX,"Percent of Households Earning $60,000 to $75,000",American Community Survey,2007-2011,
Socioeconomic/Demographics,hhm75XX,"Percent of Households Earning More than $75,000",American Community Survey,2007-2011,
Socioeconomic/Demographics,hhpovXX,Percent of Households Living Below the Poverty Line,American Community Survey,2007-2011,
Socioeconomic/Demographics,hhchpovXX,Percent of Children Living Below the Poverty Line,American Community Survey,2007-2011,
Housing,saleprXX,Median Price of Homes Sold,First American Real Estate Solutions,"2010, 2011",
Housing,domXX,Median Number of Days on the Market,"RBIntel, Inc.","2010, 2011",
Housing,shomesXX,Number of Homes Sold,First American Real Estate Solutions,"2010, 2011",
Housing,ownrocXX,Percentage of Housing Units that are Owner-Occupied,Maryland Property View,"2010, 2011",
Housing,foreXX,Percentage of Properties Under Mortgage Foreclosure,Baltimore City Circuit Court,"2010, 2011",Maryland Property View
Housing,vacantXX,Percentage of Residential Properties that are Vacant and Abandoned,Baltimore City Department of Housing,"2010, 2011",Maryland Property View
Housing,vioXX,Percentage of Residential Properties with Housing Violations (Excluding Vacants),Baltimore City Department of Housing,"2010, 2011",Maryland Property View
Housing,resrehabXX,"Percentage of Properties with Rehabilitation Permits Exceeding $5,000",Baltimore City Department of Housing,"2010, 2011",Maryland Property View
Housing,totalresXX,Total Number of Residential Properties,Maryland Property View,"2010, 2011",
Housing,cashsaXX,Percentage of Residential Sales for Cash,"RBIntel, Inc.","2010, 2011",
Housing,reosaXX,Percentage of Residential Sales in Foreclosure (REO),"RBIntel, Inc.","2010, 2011",
Housing,demperXX,"Number of Demolition Permits per 1,000 Residential Properties",Baltimore City Department of Housing,2011,Maryland Property View
Housing,constperXX,"Number of New Construction Permits per 1,000 Residential Properties",Baltimore City Department of Housing,2011,Maryland Property View
Housing,baltvacXX,Percentage of Vacant Properties Owned by Baltimore City,Baltimore City Department of Housing,2011,Maryland Property View
Housing,affordmXX,Affordability Index - Mortgage,American Community Survey,2007-2011,
Housing,affordrXX,Affordability Index - Rent,American Community Survey,2007-2011,
Housing,homtaxXX,"Number of Homestead Tax Credits per 1,000 Residential Units",Baltimore City Department of Finance,2011,Maryland Property View
Housing,owntaxXX,"Number of Homeowner's Tax Credits per 1,000 Residential Units",Baltimore City Department of Finance,2011,Maryland Property View
Housing,nomailXX,Percent Residential Properties that do Not Receive Mail,"U.S. Postal Service, U.S. Department of Housing and Urban Development","2010, 2011",
Crime and Safety,crimeXX,"Part 1 Crime Rate per 1,000 Residents",Baltimore City Police Department,"2010, 2011",U.S. Bureau of the Census
Crime and Safety,violXX,"Violent Crime Rate per 1,000 Residents",Baltimore City Police Department,"2010, 2011",U.S. Bureau of the Census
Crime and Safety,propXX,"Property Crime Rate per 1,000 Residents",Baltimore City Police Department,"2010, 2011",U.S. Bureau of the Census
Crime and Safety,domvioXX,"Domestic Violence Calls For Service per 1,000 Residents",Baltimore City Police Department,"2010, 2011",U.S. Bureau of the Census
Crime and Safety,juvarrXX,"Juvenile Arrest Rate per 1,000 Juveniles",Baltimore City Police Department,2011,U.S. Bureau of the Census
Crime and Safety,juvviolXX,"Juvenile Arrest Rate for Violent Offenses per 1,000 Juveniles",Baltimore City Police Department,2011,U.S. Bureau of the Census
Crime and Safety,juvdrugXX,"Juvenile Arrest Rate for Drug-Related Offenses per 1,000 Juveniles",Baltimore City Police Department,2011,U.S. Bureau of the Census
Crime and Safety,shootXX,"Number of Shootings per 1,000 Residents",Baltimore City Police Department,"2010, 2011",U.S. Bureau of the Census
Crime and Safety,gunhomXX,"Number of Gun-Related Homicides per 1,000 Residents",Baltimore City Police Department,"2010, 2011",U.S. Bureau of the Census
Crime and Safety,casltXX,"Number of Common Assault Calls for Service per 1,000 Residents",Baltimore City Police Department,"2010, 2011",U.S. Bureau of the Census
Crime and Safety,narcXX,"Number of Narcotics Calls for Service per 1,000 Residents",Baltimore City Police Department,"2010, 2011",U.S. Bureau of the Census
Crime and Safety,caraccXX,"Number of Automobile Accident Calls for Service per 1,000 Residents",Baltimore City Police Department,"2010, 2011",U.S. Bureau of the Census
Education,eattendXX,Number of Students Ever Enrolled 1st - 5th Grade,Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,mattendXX,Number of Students Ever Enrolled 6th - 8th Grade,Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,heattendXX,Number of Students Ever Enrolled 9th - 12th Grade,Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,eenrolXX,Number of Students Enrolled in 1st - 5th Grade,Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,menrolXX,Number of Students Enrolled in 6th - 8th Grade,Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,henrolXX,Number of Students Enrolled in 9th - 12th Grade,Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,aastudXX,Percent of Students that are African American,Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,wstudXX,Percent of Students that are White (non-Hispanic),Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,hstudXX,Percent of Students that are Hispanic,Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,abseXX,Percent of 1st-5th Grade Students that are Chronically Absent (Missing at least 20 days),Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,absmdXX,Percent of 6th-8th Grade Students that are Chronically Absent (Missing at least 20 days),Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,abshsXX,Percent of 9th-12th Grade Students that are Chronically Absent (Missing at least 20 days),Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,suspXX,Percentage of Students Suspended or Expelled During School Year,Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,farmsXX,Percentage of Students Receiving Free or Reduced Meals,Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,spedXX,Percentage of Students Enrolled in Special Education Programs,Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,readyXX,Kindergarten School Readiness,Baltimore City Public Schools,2010-2011,
Education,3mathXX,Percentage of 3rd Grade Students Passing MSA Math,Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,3readXX,Percentage of 3rd Grade Students Passing MSA Reading,Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,5mathXX,Percentage of 5th Grade Students Passing MSA Math,Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,5readXX,Percentage of 5th Grade Students Passing MSA Reading,Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,8mathXX,Percentage of 8th Grade Students Passing MSA Math,Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,8readXX,Percentage of 8th Grade Students Passing MSA Reading,Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,hsaengXX,Percentage of Students Passing H.S.A. English ,Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,hsabioXX,Percentage of Students Passing H.S.A. Biology,Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,hsagovXX,Percentage of Students Passing H.S.A. Government,Baltimore City Public Schools,"2009-2010, 2010-2011",
